portal	name
MorAD185_1_1	Mortierella_sp._AD185_v1.0
Umbelo1	Umbelopsis_sp._PMI_123_v1.0
Dicrob1	Dichotomocladium_robustum_RSA_2353+_v1.0
MoeNVP64_1	Mortierella_elongata_NVP64_v1.0
Ellano1	Ellisomyces_anomalus_CBS_243.57_v1.0
Phybla1	Phycomyces_blakesleeanus_UBC1_v1.0
Muccir1_3	Mucor_circinelloides_MU402_v1.0
Mucmuc1	Mucor_mucedo_NRRL_3635_v1.0
Amyrou1	Amylomyces_rouxii_NRRL_5866_v1.0
Jimfl_GMNB39_1	Jimgerdemannia_flammicorona_GMNB39
Jimlac1	Jimgerdemannia_lactiflua_OSC166217
Endsp1	Endogone_sp_FLAS_59071
Jimfl_AD_1	Jimgerdemannia_flammicorona_AD002
Benpoi1	Benjaminiella_poitrasii_RSA_903_v1.0
Disorn1	Dissophora_ornata_CBS_347.77_v1.0
Blatri_F921_1	Blakeslea_trispora_F921_v1.0
Blatri_F986_2	Blakeslea_trispora_F986_v1.0
Rhice1_1	Rhizophagus_cerebriforme_DAOM_227022_v1.0
Gigro1	Gigaspora_rosea_v1.0
Rhidi1	Rhizophagus_diaphanus_v1.0
Helpul1	Helicostylum_pulchrum_RSA_2064_v1.0
Chocucu1	Choanephora_cucurbitarum_NRRL2744_(50)_v1.0
Halrad1	Halteromyces_radiatus_CBS_162.75_v1.0
Mormin1_1	Mortierella_minutissima_AD051_v1.0
Morel_U14_1	Mortierella_elongata_MPI-CAGE-AA-0104_v1.0
Umbisa1	Umbelopsis_isabellina_AD026_v1.0
RhiirB3	Rhizophagus_irregularis_B3_v1.0
RhiirA5	Rhizophagus_irregularis_A5_v1.0
RhiirA4	Rhizophagus_irregularis_A4_v1.0
RhiirC2	Rhizophagus_irregularis_C2_v1.0
RhiirA1_1	Rhizophagus_irregularis_A1_v1.0
Rhiir2_1	Rhizophagus_irregularis_DAOM_197198_v2.0
Sakvas1	Saksenaea_vasiformis_B4078
Morhum1	Mortierella_humilis_PMI_1414_v1.0
Spoumb1	Sporodiniella_umbellata_MES_1446_v1.0
MorGBAus27b_1	Mortierella_sp._GBAus27b_v1.0
PnitS609_1	Phycomyces_nitens_S609_v1.0
PnitS607_1	Phycomyces_nitens_S607_v1.0
PnitS608_1	Phycomyces_nitens_S608_v1.0
Dicele1	Dichotomocladium_elegans_RSA_919-_v1.0
Pilumb1	Pilobolus_umbonatus_NRRL_6349_v1.0
Cunech1	Cunninghamella_echinulata_NRRL_1382_v1.0
Cokrec1	Cokeromyces_recurvatus_NRRL_2243_v1.0
Pilano1	Pilaira_anomala_RSA1997_v1.0
Cirumb1	Circinella_umbellata_NRRL1351_v1.0
Fenlin1	Fennellomyces_sp._T-0311_v1.0
Gilper1	Gilbertella_persicaria_var._persicaria_CBS_190.32-T_v1.0
Radspe1	Radiomyces_spectabilis_NRRL_2753_v1.0
Spifus1	Spinellus_fusiger_NRRL_22323_v1.0
Umbsp_AD052_1	Umbelopsis_sp._nov._AD052_v1.0
Morve1	Mortierella_verticillata_NRRL_6337
Mormul1	Mortierella_multidivaricata_RSA_2152_T_v1.0
Phaart1	Phascolomyces_articulosus_v1.0
Chlpad1	Absidia_padenii_NRRL_2977_v1.0
Kircor1	Mucor_cordense_RSA_1222_v1.0
Gonbut1	Gongronella_butleri_v1.0
Zycmex1	Zychaea_mexicana_RSA_1403_v1.0
Liccor1	Lichtheimia_corymbifera_JMRC:FSU:9682
Mycafr1	Mycotypha_africana_NRRL_2978_v1.0
Zyghet1	Mucor_heterogamus_NRRL_1489_v1.0
Lobtra1	Lobosporangium_transversale_NRRL_3116_v1.0
Blatri1	Blakeslea_trispora_NRRL_2456_v1.0
Synrac1	Syncephalastrum_racemosum_NRRL_2496_v1.0
Thaele1	Thamnidium_elegans_v1.0
Parpar1	Parasitella_parasitica_v1.0
Absrep1	Absidia_repens_NRRL_1336_v1.0
Morel2	Mortierella_elongata_AG-77_v2.0
Rhimi_ATCC11559_1	Rhizopus_microsporus_ATCC11559_v1.0
Rhimi_ATCC52814_1	Rhizopus_microsporus_var._microsporus_ATCC52814_v1.0
Rhich1	Rhizopus_microsporus_var._chinensis_CCTCC_M201021
Bacci1	Backusella_circina_FSU_941_v1.0
Rhimi1_1	Rhizopus_microsporus_var._microsporus_ATCC52813_v1.0
Gloin1	Rhizophagus_irregularis_DAOM_181602_v1.0
Lichy1	Lichtheimia_hyalospora_v1.0
Umbra1	Umbelopsis_ramanniana_AG_#_v1.0
Mucci2	Mucor_circinelloides_CBS277.49_v2.0
Phybl2	Phycomyces_blakesleeanus_NRRL1555_v2.0
Rhior3	Rhizopus_delemar_99-880_from_Broad
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL3301_v2.0
Piptie1	Piptocephalis_tieghemiana_RSA_1565_v1.0
Zoorad1	Zoophthora_radicans_ATCC_208865_v1.0
Coemoj1	Coemansia_mojavensis_RSA_71_v1.0
Thasp1	Thamnocephalis_sphaerospora_RSA_1356_single-cell_v1.0
DimcrSC1	Dimargaris_cristalligena_RSA_468_single-cell_v1.0
Pipcy3_1	Piptocephalis_cylindrospora_RSA_2659_single-cell_v3.0
Synps1	Syncephalis_pseudoplumigaleata_Benny_S71-1_single-cell_v1.0
Zancul2	Zancudomyces_culisetae_COL-18-3
Smimuc2	Smittium_mucronatum_ALG-7-W6
SmicuMNP_2	Smittium_culicis_GSMNP
SmiculW2_1	Smittium_culicis_ID-206-W2
Coespi1	Coemansia_spiralis_RSA_1278_v1.0
Kicala1	Kickxella_alabastrina_RSA_675_v1.0
Synfus1	Syncephalis_fuscata_S228_v1.0
Synplu1	Syncephalis_plumigaleata_NRRL_S24_v1.0
Linpe1	Linderina_pennispora_ATCC_12442_v1.0
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73_v1.0
Rambr1	Ramicandelaber_brevisporus_CBS_109374_v1.0
Conth1	Conidiobolus_thromboides_FSU_785_v1.0
Marpt1	Martensiomyces_pterosporus_CBS_209.56_v1.0
Conco1	Conidiobolus_coronatus_NRRL28638_v1.0
Coere1	Coemansia_reversa_NRRL_1564_v1.0
